year,month,day,meant,flag_meant,maxt,flag_maxt,mint,flag_mint,precip,flag_precip
1997,1,1,8.33,g,16.11,g,0.56,g,0.0,g
1997,1,2,8.89,g,14.44,g,3.33,g,0.0,g
1997,1,3,10.56,g,21.67,g,-0.56,g,0.254,g
1997,1,4,3.61,g,8.89,g,-1.67,g,0.0,g
1997,1,5,-4.44,g,3.89,g,-12.78,g,0.0,g
1997,1,6,-6.39,g,0.0,g,-12.78,g,0.254,g
1997,1,7,-6.94,g,4.44,g,-18.33,g,0.0,g
1997,1,8,1.67,g,7.22,g,-3.89,g,0.254,g
1997,1,9,-3.06,g,3.89,g,-10.0,g,0.0,g
1997,1,10,-5.83,g,3.89,g,-15.56,g,3.556,g
1997,1,11,-15.56,g,-13.33,g,-17.78,g,5.08,g
1997,1,12,-20.28,g,-17.78,g,-22.78,g,3.556,g
1997,1,13,-25.0,g,-21.11,g,-28.89,g,1.27,g
1997,1,14,-15.83,g,-8.89,g,-22.78,g,0.0,g
1997,1,15,-7.78,g,-2.78,g,-12.78,g,0.0,g
1997,1,16,-8.06,g,-0.56,g,-15.56,g,0.254,g
1997,1,17,-11.11,g,-2.78,g,-19.44,g,0.0,g
1997,1,18,-3.33,g,7.22,g,-13.89,g,0.0,g
1997,1,19,4.44,g,11.67,g,-2.78,g,0.0,g
1997,1,20,6.11,g,13.33,g,-1.11,g,0.0,g
1997,1,21,7.78,g,15.0,g,0.56,g,0.0,g
1997,1,22,2.22,g,7.78,g,-3.33,g,0.0,g
1997,1,23,0.83,g,8.89,g,-7.22,g,0.0,g
1997,1,24,0.0,g,9.44,g,-9.44,g,0.0,g
1997,1,25,-5.28,g,2.22,g,-12.78,g,0.0,g
1997,1,26,-3.33,g,6.67,g,-13.33,g,0.0,g
1997,1,27,0.28,g,8.89,g,-8.33,g,1.016,g
1997,1,28,-8.06,g,-1.67,g,-14.44,g,0.0,g
1997,1,29,-1.39,g,6.11,g,-8.89,g,0.0,g
1997,1,30,2.22,g,7.78,g,-3.33,g,0.0,g
1997,1,31,8.61,g,16.67,g,0.56,g,0.0,g
1997,2,1,11.94,g,20.0,g,3.89,g,0.0,g
1997,2,2,5.83,g,13.89,g,-2.22,g,0.0,g
1997,2,3,3.89,g,10.56,g,-2.78,g,0.0,g
1997,2,4,-2.78,g,4.44,g,-10.0,g,0.0,g
1997,2,5,-4.72,g,2.22,g,-11.67,g,0.254,g
1997,2,6,-6.39,g,-3.33,g,-9.44,g,1.27,g
1997,2,7,-6.94,g,-2.22,g,-11.67,g,0.254,g
1997,2,8,-6.94,g,0.56,g,-14.44,g,0.0,g
1997,2,9,-2.22,g,7.22,g,-11.67,g,0.0,g
1997,2,10,-2.5,g,7.78,g,-12.78,g,0.0,g
1997,2,11,-0.83,g,2.78,g,-4.44,g,0.0,g
1997,2,12,-1.94,g,2.78,g,-6.67,g,0.254,g
1997,2,13,-3.61,g,-1.67,g,-5.56,g,2.032,g
1997,2,14,-1.39,g,5.0,g,-7.78,g,0.0,g
1997,2,15,2.78,g,8.33,g,-2.78,g,0.0,g
1997,2,16,3.06,g,11.11,g,-5.0,g,0.0,g
1997,2,17,5.56,g,13.33,g,-2.22,g,0.0,g
1997,2,18,8.06,g,17.78,g,-1.67,g,0.0,g
1997,2,19,0.28,g,10.56,g,-10.0,g,1.524,g
1997,2,20,4.17,g,10.0,g,-1.67,g,0.0,g
1997,2,21,-1.67,g,3.89,g,-7.22,g,0.0,g
1997,2,22,-3.89,g,4.44,g,-12.22,g,0.0,g
1997,2,23,-2.78,g,4.44,g,-10.0,g,0.508,g
1997,2,24,-8.33,g,-3.33,g,-13.33,g,0.254,g
1997,2,25,-6.67,g,0.0,g,-13.33,g,0.0,g
1997,2,26,-2.22,g,9.44,g,-13.89,g,0.762,g
1997,2,27,-3.61,g,0.0,g,-7.22,g,0.0,g
1997,2,28,-1.11,g,5.56,g,-7.78,g,0.0,g
1997,3,1,-7.22,g,0.0,g,-14.44,g,0.254,g
1997,3,2,2.5,g,10.0,g,-5.0,g,0.0,g
1997,3,3,4.17,g,11.67,g,-3.33,g,0.0,g
1997,3,4,1.11,g,6.67,g,-4.44,g,4.064,g
1997,3,5,-9.72,g,-2.78,g,-16.67,g,0.254,g
1997,3,6,-1.94,g,3.33,g,-7.22,g,0.0,g
1997,3,7,3.33,g,12.78,g,-6.11,g,0.0,g
1997,3,8,4.44,g,14.44,g,-5.56,g,0.0,g
1997,3,9,5.83,g,16.67,g,-5.0,g,0.0,g
1997,3,10,4.44,g,12.78,g,-3.89,g,0.0,g
1997,3,11,7.22,g,18.89,g,-4.44,g,0.0,g
1997,3,12,14.44,g,26.11,g,2.78,g,0.0,g
1997,3,13,8.89,g,20.56,g,-2.78,g,0.0,g
1997,3,14,-6.11,g,1.11,g,-13.33,g,3.81,g
1997,3,15,-8.61,g,-5.56,g,-11.67,g,3.048,g
1997,3,16,0.0,g,11.11,g,-11.11,g,0.0,g
1997,3,17,10.0,g,18.89,g,1.11,g,0.0,g
1997,3,18,9.44,g,18.89,g,0.0,g,0.0,g
1997,3,19,8.33,g,17.22,g,-0.56,g,0.0,g
1997,3,20,12.78,g,22.78,g,2.78,g,0.0,g
1997,3,21,16.11,g,26.11,g,6.11,g,0.0,g
1997,3,22,4.44,g,13.89,g,-5.0,g,0.0,g
1997,3,23,7.22,g,20.0,g,-5.56,g,0.0,g
1997,3,24,8.89,g,16.67,g,1.11,g,0.0,g
1997,3,25,-3.06,g,4.44,g,-10.56,g,0.254,g
1997,3,26,4.72,g,13.89,g,-4.44,g,0.0,g
1997,3,27,10.0,g,20.0,g,0.0,g,0.0,g
1997,3,28,10.83,g,21.67,g,0.0,g,0.0,g
1997,3,29,6.67,g,14.44,g,-1.11,g,0.0,g
1997,3,30,0.56,g,10.56,g,-9.44,g,0.0,g
1997,3,31,8.06,g,18.33,g,-2.22,g,0.0,g
1997,4,1,12.78,g,22.22,g,3.33,g,0.0,g
1997,4,2,4.72,g,11.67,g,-2.22,g,0.0,g
1997,4,3,-2.22,g,2.22,g,-6.67,g,1.524,g
1997,4,4,8.89,g,18.33,g,-0.56,g,0.0,g
1997,4,5,5.56,g,15.56,g,-4.44,g,6.35,g
1997,4,6,-0.83,g,3.89,g,-5.56,g,0.0,g
1997,4,7,-0.83,g,8.33,g,-10.0,g,0.0,g
1997,4,8,2.78,g,12.22,g,-6.67,g,0.0,g
1997,4,9,-5.0,g,-1.67,g,-8.33,g,0.0,g
1997,4,10,-6.94,g,-3.89,g,-10.0,g,3.81,g
1997,4,11,-9.44,g,-7.22,g,-11.67,g,1.27,g
