old.name,new.name
Ant mound,Ant hill
Artemisia frigidae,Artemisia frigida
Astragulus missouriensis,Astragalus missouriensis
BOGR/BUDA mix,BOGR/BUDA
Bouteloua gracilils,Bouteloua gracilis
Bouteloua gracilis/CAHE,BOGR/CAEL
BUDA/BOGR mix,BOGR/BUDA
Carex ssp.,Carex spp.
Cryptantha jamsii,Cryptantha jamesii
Descurania pinnata,Descurainia pinnata
Descurania sophia,Descurainia sophia
Lithosperma incisum,Lithospermum incisum
Musieon divaricatum,Musineon divaricatum
Oenthera albicaulis,Oenothera albicaulis
Oenthera caespitosa,Oenothera caespitosa
Opuntia polycantha,Opuntia polyacantha
Plate,Corner plate
Sintanion Hystrix,Sitanion hystrix
Sintanion hystrix,Sitanion hystrix
Sophora nutalliana,Sophora nuttalliana
Sphaeralcea coccina,Sphaeralcea coccinea
Thelesperma filifoluim,Thelesperma filifolium
Thelesperma megapoticum,Thelesperma megapotamicum
Plantago spinulosa,Plantago patagonica
Russian Thistle,Salsola iberica
Bouteloua gracilis/Carex eleoc,BOGR/CAEL
BOGR/CAHE,BOGR/CAEL
BOGR/BUDA/CAHE,BOGR/BUDA/CAEL
